player_name,player_id,tourney_date,aces,dfs,svpt,firstin,firstwon,secondwon,sv_gms,bp_saved,bp_faced,vaces,vdfs,retpt,vfirstin,vfirstwon,vsecondwon,win,matches,aces_avg,dfs_avg,svpt_avg,firstin_avg,firstwon_avg,secondwon_avg,sv_gms_avg,bp_saved_avg,bp_faced_avg,vaces_avg,vdfs_avg,retpt_avg,vfirstin_avg,vfirstwon_avg,vsecondwon_avg,win_avg
Rafael Nadal,104745,2021-08-02,8,3,114,67,47,27,15,8,10,7,4,103,60,42,20,1,1,8.0,3.0,114.0,67.0,47.0,27.0,15.0,8.0,10.0,7.0,4.0,103.0,60.0,42.0,20.0,1.0
Rafael Nadal,104745,2021-08-02,16,5,195,119,88,40,29,9,13,23,7,184,111,81,33,1,2,8.0,2.5,97.5,59.5,44.0,20.0,14.5,4.5,6.5,11.5,3.5,92.0,55.5,40.5,16.5,0.5
Rafael Nadal,104745,2022-01-03,25,9,259,160,120,55,40,9,14,31,10,254,161,113,45,2,3,8.333333333333334,3.0,86.33333333333333,53.333333333333336,40.0,18.333333333333332,13.333333333333334,3.0,4.666666666666667,10.333333333333334,3.3333333333333335,84.66666666666667,53.666666666666664,37.666666666666664,15.0,0.6666666666666666
Rafael Nadal,104745,2022-01-03,28,10,327,207,156,66,51,14,20,34,11,326,220,150,50,3,4,7.0,2.5,81.75,51.75,39.0,16.5,12.75,3.5,5.0,8.5,2.75,81.5,55.0,37.5,12.5,0.75
Rafael Nadal,104745,2022-01-03,31,12,384,243,184,75,61,14,22,37,14,390,259,172,61,4,5,6.2,2.4,76.8,48.6,36.8,15.0,12.2,2.8,4.4,7.4,2.8,78.0,51.8,34.4,12.2,0.8
Rafael Nadal,104745,2022-01-17,38,14,456,294,227,88,74,16,24,39,16,464,308,198,74,5,6,6.333333333333333,2.3333333333333335,76.0,49.0,37.833333333333336,14.666666666666666,12.333333333333334,2.6666666666666665,4.0,6.5,2.6666666666666665,77.33333333333333,51.333333333333336,33.0,12.333333333333334,0.8333333333333334
Rafael Nadal,104745,2022-01-17,39,19,541,340,262,113,88,18,26,44,17,560,364,232,94,6,7,5.571428571428571,2.7142857142857144,77.28571428571429,48.57142857142857,37.42857142857143,16.142857142857142,12.571428571428571,2.5714285714285716,3.7142857142857144,6.285714285714286,2.4285714285714284,80.0,52.0,33.142857142857146,13.428571428571429,0.8571428571428571
Rafael Nadal,104745,2022-01-17,43,25,639,406,317,131,105,22,31,58,20,669,437,282,108,7,8,5.375,3.125,79.875,50.75,39.625,16.375,13.125,2.75,3.875,7.25,2.5,83.625,54.625,35.25,13.5,0.875
Rafael Nadal,104745,2022-01-17,59,31,727,454,359,155,119,23,33,65,24,773,492,322,131,8,9,6.555555555555555,3.4444444444444446,80.77777777777777,50.44444444444444,39.888888888888886,17.22222222222222,13.222222222222221,2.5555555555555554,3.6666666666666665,7.222222222222222,2.6666666666666665,85.88888888888889,54.666666666666664,35.77777777777778,14.555555555555555,0.8888888888888888
Rafael Nadal,104745,2022-01-17,67,42,873,554,438,176,143,29,41,85,29,910,572,380,162,9,10,6.7,4.2,87.3,55.4,43.8,17.6,14.3,2.9,4.1,8.5,2.9,91.0,57.2,38.0,16.2,0.9
Rafael Nadal,104745,2022-01-17,72,44,975,624,489,196,161,30,43,99,31,1012,640,430,177,10,11,6.545454545454546,4.0,88.63636363636364,56.72727272727273,44.45454545454545,17.818181818181817,14.636363636363637,2.727272727272727,3.909090909090909,9.0,2.8181818181818183,92.0,58.18181818181818,39.09090909090909,16.09090909090909,0.9090909090909091
Rafael Nadal,104745,2022-01-17,75,49,1164,741,567,230,187,46,65,122,36,1194,766,519,200,11,12,6.25,4.083333333333333,97.0,61.75,47.25,19.166666666666668,15.583333333333334,3.8333333333333335,5.416666666666667,10.166666666666666,3.0,99.5,63.833333333333336,43.25,16.666666666666668,0.9166666666666666
Rafael Nadal,104745,2022-02-21,77,49,1204,772,591,236,195,46,66,122,36,1235,799,535,203,12,13,5.923076923076923,3.769230769230769,92.61538461538461,59.38461538461539,45.46153846153846,18.153846153846153,15.0,3.5384615384615383,5.076923076923077,9.384615384615385,2.769230769230769,95.0,61.46153846153846,41.15384615384615,15.615384615384615,0.9230769230769231
Rafael Nadal,104745,2022-02-21,79,53,1271,811,618,249,204,50,73,126,38,1311,846,561,211,13,14,5.642857142857143,3.7857142857142856,90.78571428571429,57.92857142857143,44.142857142857146,17.785714285714285,14.571428571428571,3.5714285714285716,5.214285714285714,9.0,2.7142857142857144,93.64285714285714,60.42857142857143,40.07142857142857,15.071428571428571,0.9285714285714286
Rafael Nadal,104745,2022-02-21,87,53,1311,838,644,259,213,50,73,130,42,1367,881,585,218,14,15,5.8,3.533333333333333,87.4,55.86666666666667,42.93333333333333,17.266666666666666,14.2,3.3333333333333335,4.866666666666666,8.666666666666666,2.8,91.13333333333334,58.733333333333334,39.0,14.533333333333333,0.9333333333333333
Rafael Nadal,104745,2022-02-21,90,53,1368,883,676,264,223,53,78,134,44,1426,921,609,227,15,16,5.625,3.3125,85.5,55.1875,42.25,16.5,13.9375,3.3125,4.875,8.375,2.75,89.125,57.5625,38.0625,14.1875,0.9375
Rafael Nadal,104745,2022-02-21,92,54,1448,940,713,279,232,64,89,144,51,1490,961,638,233,16,17,5.411764705882353,3.176470588235294,85.17647058823529,55.294117647058826,41.94117647058823,16.41176470588235,13.647058823529411,3.764705882352941,5.235294117647059,8.470588235294118,3.0,87.6470588235294,56.529411764705884,37.529411764705884,13.705882352941176,0.9411764705882353
Rafael Nadal,104745,2022-03-07,94,57,1526,992,742,293,243,69,98,145,54,1566,1010,672,246,16,18,5.222222222222222,3.1666666666666665,84.77777777777777,55.111111111111114,41.22222222222222,16.27777777777778,13.5,3.8333333333333335,5.444444444444445,8.055555555555555,3.0,87.0,56.111111111111114,37.333333333333336,13.666666666666666,0.8888888888888888
Rafael Nadal,104745,2022-03-07,96,61,1634,1064,787,309,258,78,112,146,57,1666,1073,710,263,17,19,5.052631578947368,3.210526315789474,86.0,56.0,41.421052631578945,16.263157894736842,13.578947368421053,4.105263157894737,5.894736842105263,7.684210526315789,3.0,87.6842105263158,56.473684210526315,37.36842105263158,13.842105263157896,0.8947368421052632
Rafael Nadal,104745,2022-03-07,106,68,1736,1131,839,326,275,81,117,158,62,1773,1131,754,289,18,20,5.3,3.4,86.8,56.55,41.95,16.3,13.75,4.05,5.85,7.9,3.1,88.65,56.55,37.7,14.45,0.9
Rafael Nadal,104745,2022-03-07,112,71,1809,1182,882,342,287,84,121,167,67,1871,1205,810,297,19,21,5.333333333333333,3.380952380952381,86.14285714285714,56.285714285714285,42.0,16.285714285714285,13.666666666666666,4.0,5.761904761904762,7.9523809523809526,3.1904761904761907,89.0952380952381,57.38095238095238,38.57142857142857,14.142857142857142,0.9047619047619048
Rafael Nadal,104745,2022-03-07,116,76,1875,1222,912,359,298,87,125,170,69,1926,1233,827,314,20,22,5.2727272727272725,3.4545454545454546,85.22727272727273,55.54545454545455,41.45454545454545,16.318181818181817,13.545454545454545,3.9545454545454546,5.681818181818182,7.7272727272727275,3.1363636363636362,87.54545454545455,56.04545454545455,37.59090909090909,14.272727272727273,0.9090909090909091
Rafael Nadal,104745,2022-03-07,121,84,1973,1283,949,378,311,94,136,173,71,2013,1278,855,334,21,23,5.260869565217392,3.652173913043478,85.78260869565217,55.78260869565217,41.26086956521739,16.434782608695652,13.521739130434783,4.086956521739131,5.913043478260869,7.521739130434782,3.0869565217391304,87.52173913043478,55.56521739130435,37.17391304347826,14.521739130434783,0.9130434782608695
Rafael Nadal,104745,2022-05-02,124,87,2038,1327,981,389,321,96,140,174,72,2076,1322,883,340,22,24,5.166666666666667,3.625,84.91666666666667,55.291666666666664,40.875,16.208333333333332,13.375,4.0,5.833333333333333,7.25,3.0,86.5,55.083333333333336,36.791666666666664,14.166666666666666,0.9166666666666666
Rafael Nadal,104745,2022-05-02,131,91,2147,1399,1036,409,338,98,145,177,74,2192,1407,940,354,23,25,5.24,3.64,85.88,55.96,41.44,16.36,13.52,3.92,5.8,7.08,2.96,87.68,56.28,37.6,14.16,0.92
Rafael Nadal,104745,2022-05-02,132,92,2221,1451,1066,422,350,99,150,181,77,2262,1446,966,370,23,26,5.076923076923077,3.5384615384615383,85.42307692307692,55.80769230769231,41.0,16.23076923076923,13.461538461538462,3.8076923076923075,5.769230769230769,6.961538461538462,2.9615384615384617,87.0,55.61538461538461,37.15384615384615,14.23076923076923,0.8846153846153846
Rafael Nadal,104745,2022-05-09,134,96,2311,1516,1102,436,364,107,163,194,80,2355,1509,1006,383,23,27,4.962962962962963,3.5555555555555554,85.5925925925926,56.148148148148145,40.81481481481482,16.14814814814815,13.481481481481481,3.962962962962963,6.037037037037037,7.185185185185185,2.962962962962963,87.22222222222223,55.888888888888886,37.25925925925926,14.185185185185185,0.8518518518518519
Rafael Nadal,104745,2022-05-09,135,98,2360,1543,1124,449,372,109,165,195,82,2402,1535,1019,394,24,28,4.821428571428571,3.5,84.28571428571429,55.107142857142854,40.142857142857146,16.035714285714285,13.285714285714286,3.892857142857143,5.892857142857143,6.964285714285714,2.9285714285714284,85.78571428571429,54.82142857142857,36.392857142857146,14.071428571428571,0.8571428571428571
Rafael Nadal,104745,2022-05-23,138,102,2498,1642,1188,473,391,117,177,200,86,2542,1632,1081,412,25,29,4.758620689655173,3.5172413793103448,86.13793103448276,56.62068965517241,40.96551724137931,16.310344827586206,13.482758620689655,4.0344827586206895,6.103448275862069,6.896551724137931,2.9655172413793105,87.65517241379311,56.275862068965516,37.275862068965516,14.206896551724139,0.8620689655172413
Rafael Nadal,104745,2022-05-23,139,102,2561,1683,1218,490,403,118,179,205,87,2622,1682,1105,425,26,30,4.633333333333334,3.4,85.36666666666666,56.1,40.6,16.333333333333332,13.433333333333334,3.933333333333333,5.966666666666667,6.833333333333333,2.9,87.4,56.06666666666667,36.833333333333336,14.166666666666666,0.8666666666666667
Rafael Nadal,104745,2022-05-23,140,104,2633,1730,1252,504,416,120,183,205,90,2697,1734,1135,434,27,31,4.516129032258065,3.3548387096774195,84.93548387096774,55.806451612903224,40.38709677419355,16.258064516129032,13.419354838709678,3.870967741935484,5.903225806451613,6.612903225806452,2.903225806451613,87.0,55.935483870967744,36.61290322580645,14.0,0.8709677419354839
Rafael Nadal,104745,2022-05-23,142,105,2707,1784,1296,515,430,121,186,208,93,2784,1801,1171,443,28,32,4.4375,3.28125,84.59375,55.75,40.5,16.09375,13.4375,3.78125,5.8125,6.5,2.90625,87.0,56.28125,36.59375,13.84375,0.875
Rafael Nadal,104745,2022-05-23,145,109,2841,1874,1356,544,452,126,195,215,97,2937,1909,1239,465,29,33,4.393939393939394,3.303030303030303,86.0909090909091,56.78787878787879,41.09090909090909,16.484848484848484,13.696969696969697,3.8181818181818183,5.909090909090909,6.515151515151516,2.9393939393939394,89.0,57.84848484848485,37.54545454545455,14.090909090909092,0.8787878787878788
Rafael Nadal,104745,2022-05-23,146,112,2902,1913,1388,554,464,127,198,215,98,3017,1963,1266,474,30,34,4.294117647058823,3.2941176470588234,85.3529411764706,56.26470588235294,40.8235294117647,16.294117647058822,13.647058823529411,3.735294117647059,5.823529411764706,6.323529411764706,2.8823529411764706,88.73529411764706,57.73529411764706,37.23529411764706,13.941176470588236,0.8823529411764706
